|# | Username | Score | Counts | Gets | Assists | Gets + Assists | Ks Participated |Days Participated |Gets Ratio |Assists Ratio |Combined Ratio
| 43 | /u/Removedpixel | 417186 | 7893 | 3 | 15 | 18 | 1035 | 927 | 0.3801 | 1.9005 | 1.1403 | 
| 44 | /u/xHOCKEYx12 | 361258 | 25629 | 62 | 34 | 96 | 943 | 367 | 2.4192 | 1.3267 | 1.8729 | 
| 45 | /u/TheMatsValk | 359478 | 74489 | 19 | 128 | 147 | 583 | 102 | 0.2551 | 1.7184 | 0.9868 | 
| 46 | /u/Chalupa_Grandpa | 349368 | 25984 | 35 | 9 | 44 | 1118 | 259 | 1.347 | 0.3464 | 0.8467 | 
| 47 | /u/cro4_chromate | 335070 | 3635 | 2 | 2 | 4 | 1149 | 480 | 0.5503 | 0.5503 | 0.5503 | 
| 48 | /u/randomusername123458 | 329142 | 36371 | 60 | 30 | 90 | 703 | 354 | 1.6497 | 0.8249 | 1.2373 | 
| 49 | /u/Antichess | 308888 | 14544 | 27 | 11 | 38 | 881 | 423 | 1.8565 | 0.7564 | 1.3064 | 
| 50 | /u/ddodd69 | 304416 | 36908 | 31 | 29 | 60 | 909 | 94 | 0.84 | 0.7858 | 0.8129 | 
| 51 | /u/Majestic_Bear | 283842 | 55121 | 71 | 57 | 128 | 401 | 147 | 1.2881 | 1.0341 | 1.1611 | 
| 52 | /u/LeinadFork | 256396 | 3098 | 0 | 0 | 0 | 972 | 279 | 0 | 0 | 0 | 
| 53 | /u/TehVulpez | 229202 | 26701 | 42 | 14 | 56 | 484 | 255 | 1.573 | 0.5244 | 1.0487 | 
| 54 | /u/supersammy00 | 216328 | 36614 | 43 | 30 | 73 | 389 | 144 | 1.1745 | 0.8194 | 0.9969 | 
| 55 | /u/o99o99 | 204712 | 3406 | 8 | 3 | 11 | 413 | 549 | 2.3488 | 0.8808 | 1.6148 | 
| 56 | /u/Kris18 | 200188 | 28144 | 48 | 11 | 59 | 405 | 167 | 1.7056 | 0.3909 | 1.0482 | 
| 57 | /u/MrGally75 | 189056 | 42278 | 44 | 45 | 89 | 245 | 55 | 1.0408 | 1.0644 | 1.0526 | 
| 58 | /u/sakima11 | 171528 | 16214 | 24 | 11 | 35 | 455 | 153 | 1.4803 | 0.6785 | 1.0794 | 
| 59 | /u/Flat-Mars-Society | 169748 | 39924 | 36 | 49 | 85 | 190 | 47 | 0.9018 | 1.2274 | 1.0646 | 
| 60 | /u/yesduorg | 154616 | 15458 | 16 | 23 | 39 | 403 | 118 | 1.0351 | 1.488 | 1.2615 | 
| 61 | /u/darthvader1521 | 141010 | 30005 | 49 | 23 | 72 | 183 | 42 | 1.6331 | 0.7666 | 1.1999 | 
| 62 | /u/Mooraell | 137894 | 2047 | 4 | 4 | 8 | 443 | 206 | 1.9541 | 1.9541 | 1.9541 | 
| 63 | /u/LeinadCheeseGrater | 137080 | 13490 | 2 | 3 | 5 | 504 | 34 | 0.1483 | 0.2224 | 0.1854 | 
| 64 | /u/NeodymiumL1vesMatter | 134354 | 1027 | 1 | 40 | 41 | 455 | 104 | 0.9738 | 38.9484 | 19.9611 | 
| 65 | /u/1_Count_Per_HoC | 130884 | 342 | 0 | 0 | 0 | 330 | 321 | 0 | 0 | 0 | 
| 66 | /u/PrisonBull | 128088 | 15044 | 41 | 9 | 50 | 340 | 25 | 2.7254 | 0.5983 | 1.6618 | 
| 67 | /u/TheNitromeFan | 114658 | 8779 | 10 | 9 | 19 | 231 | 207 | 1.1391 | 1.0252 | 1.0822 | 
| 68 | /u/Cox_1920 | 110880 | 990 | 15 | 4 | 19 | 371 | 126 | 15.1516 | 4.0405 | 9.596 | 
| 69 | /u/Iluvdubedgedsword | 106342 | 18871 | 12 | 16 | 28 | 193 | 80 | 0.6359 | 0.8479 | 0.7419 | 
| 70 | /u/PrinceCrinkle | 104900 | 16750 | 25 | 9 | 34 | 196 | 76 | 1.4926 | 0.5374 | 1.015 | 
| 71 | /u/Whit4You | 101052 | 19526 | 12 | 6 | 18 | 184 | 81 | 0.6146 | 0.3073 | 0.461 | 
| 72 | /u/Capitanbublo | 100764 | 21682 | 30 | 18 | 48 | 123 | 44 | 1.3837 | 0.8302 | 1.107 | 
